survey_id,survey_submitted_at,trip_start_date,trip_finish_date,hotel_name,hotel_code,hotel_trip_other_name,hotel_any_other,hotel_ritz_carlton,hotel_super_eight,hotel_embassy_suites,hotel_days_inn,hotel_hampton_inn,hotel_quality_inn,hotel_marriott,hotel_holiday_inn,hotel_omni,hotel_hilton,hotel_millenium,hotel_radisson,hotel_hyatt,hotel_fairfield_inn,hotel_ramada_inn,hotel_drury_inn,hotel_four_seasons,hotel_best_western,hotel_past_other_name,hotel_selection_cost,hotel_selection_bar,hotel_selection_distance_to_parks,hotel_selection_in_room_dining,hotel_selection_food_court,hotel_selection_sit_down_dining,hotel_selection_fine_dining,hotel_selection_parks_shuttle,hotel_selection_airport_shuttle,hotel_selection_in_room_kitchen,hotel_selection_room_size,hotel_selection_multiple_bedroom_suites,hotel_selection_spa_fitness_center,hotel_selection_pool,hotel_selection_theme,hotel_selection_kids_activities,hotel_selection_location_on_property,hotel_selection_other_string,hotel_selection_other_rating,hotel_satisfied_room_cleanliness,hotel_satisfied_room_size,hotel_satisfied_room_quietness,hotel_satisfied_beds_pillows,hotel_satisfied_pool_size,hotel_satisfied_pool_crowds,hotel_satisfied_pool_cleanliness,hotel_satisfied_parks_shuttle,hotel_satisfied_airport_shuttle,hotel_satisfied_check_in_out_process,hotel_satisfied_staff,hotel_satisfied_recreation_amenities,hotel_satisfied_food_court_overall,hotel_satisfied_food_court_value,hotel_satisfied_find_your_way_around,hotel_satisfied_child_services,hotel_satisfied_sit_down_dining,hotel_satisfied_other_string,hotel_satisfied_other_rating,hotel_satisfaction_code,hotel_stay_again,hotel_recommendation_code,hotel_room_number,hotel_room_connecting,hotel_room_connecting_room_number,hotel_room_bed_code,user_id,party_members,hometown,how_many_trips,ip_address
26059,2017-10-10T13:45:17Z,2017-10-01,2017-10-06,Disney's Caribbean Beach Resort,ORL007,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4,,,,,,,,3,,,2,1,,5,,,5,5,5,5,5,5,5,,,5,5,4,2,4,5,,,,,very_satisfied,1,will_definitely_recommend,3924,,,two_queen,579768,"","Murray, KY",3,
26060,2017-10-10T13:52:22Z,2017-10-01,2017-10-07,Disney's Art of Animation Resort,ORL242,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,3,1,5,2,4,3,1,5,1,5,3,5,,4,5,5,1,,,3,4,5,2,4,4,4,,,2,2,1,2,1,5,,1,,,somewhat_dissatisfied,0,may_recommend,5605,0,,suite,575233,F8|F42|M43,Huntsville,0,
26061,2017-10-10T14:05:41Z,2017-10-01,2017-10-07,Disney's Old Key West Resort,ORL011,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,1,5,1,1,1,1,5,5,5,5,5,,1,1,1,5,,,2,5,5,1,4,4,4,5,5,4,5,4,3,3,3,3,2,,,somewhat_satisfied,1,may_recommend,5632,0,,suite,561516,F40|F65|F76|M1|M4|M42|M65,"Champaign, IL",4,
26062,2017-10-10T14:29:18Z,2017-09-30,2017-10-07,Disney's Port Orleans Resort - Riverside,ORL015,,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,5,2,5,1,5,3,1,5,3,1,4,3,,5,3,2,5,,,5,4,4,5,4,3,4,4,5,5,4,,3,3,3,,,,,very_satisfied,1,will_definitely_recommend,1450,1,,two_queens_murphy,404834,F41|M8|M44,"Murray, KY",6,
26063,2017-10-10T14:53:25Z,2017-09-25,2017-10-04,Disney's Pop Century Resort,ORL013,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,5,,,,,3,2,,,,,,,,1,,,4,4,3,3,3,3,3,1,3,4,4,3,3,3,4,3,3,,,somewhat_satisfied,1,probably_wont_recommend,1133,0,,two_queen,85399,"",,6,
26064,2017-10-10T16:07:03Z,2017-10-01,2017-10-07,Disney's Port Orleans Resort - Riverside,ORL015,,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,4,1,2,1,3,3,1,4,1,1,2,1,,4,4,1,3,,,4,3,4,4,4,2,3,5,3,5,4,3,4,4,3,,4,,,very_satisfied,1,may_recommend,8056,1,8055,two_queen,79210,F70|M12|M45,"St. Catharines, ON",4,
26067,2017-10-10T16:42:56Z,2016-02-04,2016-02-10,Disney's All-Star Sports Resort,ORL001,,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,,5,1,5,1,3,5,3,5,5,1,1,1,,3,3,2,5,,,5,5,5,4,5,5,5,4,5,4,5,5,4,5,5,5,5,,,very_satisfied,1,will_definitely_recommend,,0,,two_queen,401034,F4|F8|F53|F55,"Fairbanks, La",4,
26068,2017-10-10T16:55:26Z,2017-09-30,2017-10-07,Disney's All-Star Movies Resort,ORL237,,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,,5,1,1,1,2,1,1,1,1,1,2,2,,4,3,1,1,,,3,2,3,3,4,4,5,1,,4,4,3,4,3,4,,5,,,neither,,probably_wont_recommend,6033,,,two_queen,555956,"",,3,
26069,2017-10-10T16:55:31Z,2017-09-30,2017-10-07,Disney's All-Star Movies Resort,ORL237,,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,,5,1,1,1,2,1,1,1,1,1,2,2,,4,3,1,1,,,3,2,3,3,4,4,5,1,,4,4,3,4,3,4,,5,,,neither,,probably_wont_recommend,6033,,,two_queen,555956,"",,3,
26070,2017-10-10T17:03:36Z,2017-09-30,2017-10-07,Disney's All-Star Music Resort,ORL236,,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,,5,,,,3,,,,,,1,,,2,,,4,,,5,4,4,3,4,5,5,,,5,5,,4,3,5,,,,,very_satisfied,1,will_definitely_recommend,3450,0,,two_double,242486,F10|F43|M14,"Trimble, TN",12,
